1,0
1.1,0.041393
1.2,0.079182
1.3,0.113944
1.4,0.146129
1.5,0.176093
1.6,0.204121
1.7,0.230451
1.8,0.255276
1.9,0.278756
2,0.301025
2.1,0.322221
2.2,0.342427
2.3,0.361731
2.4,0.380215
2.5,0.397944
2.6,0.414976
2.7,0.431367
2.8,0.447164
2.9,0.462402
3,0.477117
3.1,0.491365
3.2,0.505155
3.3,0.518519
3.4,0.531484
3.5,0.544073
3.6,0.556305
3.7,0.568206
3.8,0.579791
3.9,0.59107
4,0.602057
4.1,0.612788
4.2,0.623256
4.3,0.633474
4.4,0.643459
4.5,0.653218
4.6,0.662761
4.7,0.672103
4.8,0.68125
4.9,0.690203
5,0.698967
5.1,0.707575
5.2,0.716011
5.3,0.724282
5.4,0.7324
5.5,0.740368
5.6,0.748192
5.7,0.755881
5.8,0.763436
5.9,0.770859
6,0.778149
6.1,0.785335
6.2,0.7924
6.3,0.799348
6.4,0.806187
6.5,0.81292
6.6,0.819548
6.7,0.826081
6.8,0.832518
6.9,0.838857
7,0.845097
7.1,0.851264
7.2,0.857341
7.3,0.86333
7.4,0.869239
7.5,0.875068
7.6,0.880818
7.7,0.886497
7.8,0.892104
7.9,0.897636
8,0.90309
8.1,0.908491
8.2,0.913823
8.3,0.919085
8.4,0.924287
8.5,0.929426
8.6,0.934503
8.7,0.939526
8.8,0.944491
8.9,0.949399
9,0.954242
9.1,0.959047
9.2,0.963797
9.3,0.96849
9.4,0.973136
9.5,0.977731
9.6,0.982276
9.7,0.986779
9.8,0.991235
9.9,0.995645
1E+1,1
10.1,1.004327
10.2,1.00861
10.3,1.012845
10.4,1.017042
10.5,1.021197
10.6,1.02531
10.7,1.029392
10.8,1.033433
10.9,1.037437
11,1.041393
11.1,1.045329
11.2,1.049228
11.3,1.053086
11.4,1.056914
11.5,1.060706
11.6,1.064463
11.7,1.068194
11.8,1.071892
11.9,1.075557
12,1.079182
12.1,1.082792
12.2,1.08637
12.3,1.089914
12.4,1.093431
12.5,1.096919
12.6,1.100376
12.7,1.103812
12.8,1.10722
12.9,1.1106
13,1.113944
13.1,1.117278
13.2,1.120585
13.3,1.123861
13.4,1.127114
13.5,1.130343
13.6,1.133545
13.7,1.136729
13.8,1.13989
13.9,1.143025
14,1.146129
14.1,1.149226
14.2,1.152299
14.3,1.155345
14.4,1.158372
14.5,1.161377
14.6,1.164359
14.7,1.167327
14.8,1.170272
14.9,1.173196
15,1.176092
15.1,1.178984
15.2,1.181855
15.3,1.184701
15.4,1.18753
15.5,1.190341
15.6,1.19313
15.7,1.195909
15.8,1.198668
15.9,1.201407
16,1.204122
16.1,1.206833
16.2,1.209526
16.3,1.212197
16.4,1.214853
16.5,1.217494
16.6,1.220114
16.7,1.222726
16.8,1.225321
16.9,1.227897
17,1.230451
17.1,1.233004
17.2,1.235539
17.3,1.238055
17.4,1.240558
17.5,1.243048
17.6,1.245519
17.7,1.247983
17.8,1.250431
17.9,1.252863
18,1.255275
18.1,1.257687
18.2,1.260083
18.3,1.26246
18.4,1.264827
18.5,1.267181
18.6,1.269519
18.7,1.271851
18.8,1.274169
18.9,1.276472
19,1.278756
19.1,1.281042
19.2,1.283313
19.3,1.285566
19.4,1.287811
19.5,1.290045
19.6,1.292262
19.7,1.294476
19.8,1.296676
19.9,1.298863
2E+1,1.301033
